,level,short_name,long_name
ces:p:s:o:m:g:o,6,Other grantmaking,"All employees, thousands, other grantmaking and giving services"
ces:p:s:o:m:s,5,Social advocacy,"All employees, thousands, social advocacy organizations"
ces:p:s:o:m:s:r,6,Human rights orgs.,"All employees, thousands, human rights organizations"
ces:p:s:o:m:s:e,6,Environmental orgs.,"All employees, thousands, environment, conservation, and other social advocacy organizations"
ces:p:s:o:m:c,5,Civic & social orgs.,"All employees, thousands, civic and social organizations"
ces:p:s:o:m:o,5,"Professional orgs., etc.","All employees, thousands, professional and similar organizations"
ces:p:s:o:m:o:b,6,Business associations,"All employees, thousands, business associations"
ces:p:s:o:m:o:p,6,Professional orgs.,"All employees, thousands, professional organizations"
ces:p:s:o:m:o:l,6,Labor unions,"All employees, thousands, labor unions and similar labor organizations"
ces:p:s:o:m:o:o,6,Misc. professional orgs.,"All employees, thousands, miscellaneous professional and similar organizations"
ces:g,1,Govt.,"All employees, thousands, government"
ces:g:f,2,Federal govt.,"All employees, thousands, federal"
ces:g:f:n,3,Federal ex. USPS,"All employees, thousands, federal, except u.s. postal service"
ces:g:f:n:h,4,Federal hospitals,"All employees, thousands, federal hospitals"
ces:g:f:n:d,4,DOD,"All employees, thousands, department of defense"
ces:g:f:p,3,USPS,"All employees, thousands, u.s. postal service"
ces:g:f:o,3,Misc. federal,"All employees, thousands, other federal government"
ces:g:s,2,State govt.,"All employees, thousands, state government"
ces:g:s:e,3,State edu.,"All employees, thousands, state government education"
ces:g:s:n,3,State ex. edu.,"All employees, thousands, state government, excluding education"
ces:g:s:n:h,4,State hospitals,"All employees, thousands, state hospitals"
ces:g:s:n:a,4,State admin,"All employees, thousands, state government general administration"
ces:g:s:n:o,4,Misc. state,"All employees, thousands, other state government"
ces:g:l,2,Local govt.,"All employees, thousands, local government"
ces:g:l:e,3,Local edu.,"All employees, thousands, local government education"
ces:g:l:n,3,Local ex. Edu.,"All employees, thousands, local government, excluding education"
ces:g:l:n:u,4,Local govt. utilities,"All employees, thousands, local government utilities"
ces:g:l:n:t,4,Local govt. transport,"All employees, thousands, local government transportation"
ces:g:l:n:h,4,Local hospitals,"All employees, thousands, local hospitals"
ces:g:l:n:a,4,Local admin.,"All employees, thousands, local government general administration"
ces:g:l:n:o,4,Misc. local,"All employees, thousands, other local government"
ces:s,0,Services,"All employees, thousands, service-providing"
